,,,,,,,,Wafer #8 Bin #14,,,,,Wafer #10 Bin #14,,,,
Test Name,LL,UL,Unit,Avg,Min,Max,,T28,S28,H33,AB26,AA26,AE37,AF19,AI33,D31,W31
VDD5V0,4.5,5.5,V,4.999295159,4.999259607,4.999335879,,4.999267019,4.999276305,4.999259607,4.999293816,4.999293606,4.999300645,4.999335879,4.999332652,4.999293915,4.999298151
VDD3V3,3,3.6,V,3.299713678,3.299652592,3.299772062,,3.299730801,3.299734116,3.299772062,3.299652592,3.299741234,3.299710456,3.299676468,3.299703214,3.299702135,3.299713699
VDD1V8,1.6,2,V,1.806691351,1.8066804,1.806708717,,1.806683428,1.8066804,1.806685369,1.806681899,1.806683505,1.806699618,1.806703196,1.806708717,1.806692963,1.806694409
IDD5V0_STBY_CLK_OFF,0,1,mA,0.197144924,0.189770944,0.203680247,,0.200218055,0.199368224,0.190013088,0.198516063,0.1968164,0.195296016,0.201130752,0.203680247,0.196639448,0.189770944
IDD3V3_STBY_CLK_OFF,0,1,mA,0.023562592,0.017609913,0.075336982,,0.017986633,0.017684069,0.017609913,0.075336982,0.017749611,0.017717452,0.018115534,0.017854822,0.017662707,0.017908198
IDD1V8_STBY_CLK_OFF,0,1,mA,0.034839148,0.030200463,0.040349551,,0.040349551,0.030200463,0.033664983,0.032999087,0.032025855,0.035248231,0.035185367,0.035671983,0.033420511,0.039625447
IDD5V0_EN,40,85,mA,83.08344474,80.11494298,84.81903467,,80.11494298,82.9114113,82.69326761,82.39356801,83.54748599,82.73337036,84.81903467,84.24457163,84.16302502,83.21376983
IDD3V3_EN,0.02,0.3,mA,0.032191729,0.026741298,0.078734767,,0.027222559,0.026881113,0.026866328,0.078734767,0.026961323,0.027014758,0.027312431,0.027127797,0.026741298,0.027054921
IDD1V8_EN,5,20,mA,16.99199062,16.47949684,17.61457417,,16.47949684,16.6383246,16.5968854,16.90629404,16.80556219,17.42741093,17.47214235,17.61457417,17.10816752,16.87104814
SCAN,1,,P/F,1,1,1,,1,1,1,1,1,1,1,1,1,1
MBIST(DMEM&PMEM),1,,P/F,1,1,1,,1,1,1,1,1,1,1,1,1,1
GPIO_1_VOL_2mA Sink,-0.2,0.2,V,0.106929191,0.105853687,0.108141993,,0.107226671,0.10699784,0.108141993,0.106540179,0.106540179,0.107684332,0.105853687,0.106311349,0.10699784,0.10699784
GPIO_2_VOL_2mA Sink,-0.2,0.2,V,0.107675012,0.106828335,0.108430156,,0.10751483,0.108430156,0.108430156,0.107285998,0.10751483,0.107743662,0.106828335,0.107285998,0.108201325,0.10751483
GPIO_3_VOL_2mA Sink,-0.2,0.2,V,0.111778341,0.110565487,0.112625051,,0.111709689,0.112625051,0.112625051,0.111938529,0.111709689,0.111938529,0.110565487,0.110794327,0.111709689,0.11216737
GPIO_4_VOL_2mA Sink,-0.2,0.2,V,0.110576431,0.109432246,0.111491779,,0.110805268,0.111262942,0.111491779,0.10988992,0.110347594,0.111262942,0.109432246,0.10988992,0.110805268,0.110576431
GPIO_5_VOL_2mA Sink,-0.2,0.2,V,0.10993571,0.10870002,0.110759503,,0.110073009,0.110073009,0.110759503,0.109615346,0.11030184,0.11030184,0.10870002,0.109157683,0.11030184,0.110073009
GPIO_6_VOL_2mA Sink,-0.2,0.2,V,0.113356178,0.112097602,0.114157091,,0.113470594,0.113928258,0.114157091,0.113470594,0.113241762,0.113699426,0.112097602,0.112784098,0.113470594,0.113241762
GPIO_7_VOL_2mA Sink,-0.2,0.2,V,0.111640995,0.110565487,0.112396139,,0.112167308,0.111938476,0.112396139,0.111251981,0.111938476,0.111938476,0.110565487,0.110565487,0.111938476,0.111709644
GPIO_8_VOL_2mA Sink,-0.2,0.2,V,0.113644828,0.112317614,0.114834744,,0.114148254,0.114148254,0.114834744,0.112775274,0.113690594,0.113919424,0.112317614,0.112775274,0.113919424,0.113919424
GPIO_1_VOH_2mA Source,2.8,3.5,V,2.970116832,2.966455543,2.974464613,,2.974464613,2.970574494,2.969659171,2.971032155,2.971032155,2.966455543,2.971032155,2.967599696,2.972633969,2.966684374
GPIO_2_VOH_2mA Source,2.8,3.5,V,2.977099641,2.973850233,2.980944012,,2.980944012,2.977282707,2.976138549,2.977511538,2.978426865,2.973850233,2.976825044,2.974765559,2.980028686,2.975223222
GPIO_3_VOH_2mA Source,2.8,3.5,V,2.970878337,2.967171122,2.972892132,,2.972892132,2.970374888,2.970832569,2.972205611,2.972205611,2.967171122,2.972892132,2.970146047,2.972663292,2.967399962
GPIO_4_VOH_2mA Source,2.8,3.5,V,2.984667749,2.981097893,2.988420675,,2.988420675,2.985674632,2.983157425,2.985674632,2.985216958,2.981097893,2.985216958,2.982013241,2.987734165,2.982470915
GPIO_5_VOH_2mA Source,2.8,3.5,V,2.967413952,2.964278961,2.970686243,,2.970686243,2.966567276,2.967024939,2.968855591,2.967940265,2.964278961,2.969313254,2.96565195,2.969542085,2.964278961
GPIO_6_VOH_2mA Source,-0.2,0.2,V,0.021470964,0.021013299,0.021928628,,0.021928628,0.021470964,0.021928628,0.021470964,0.021470964,0.021470964,0.021242132,0.021013299,0.021699796,0.021013299
GPIO_7_VOH_2mA Source,2.8,3.5,V,2.966969348,2.962484249,2.969120365,,2.968891533,2.967289712,2.967518544,2.968662702,2.969120365,2.962484249,2.968891533,2.964772565,2.96843387,2.963628407
GPIO_8_VOH_2mA Source,2.8,3.5,V,2.969319755,2.965589826,2.971768236,,2.971310576,2.968106956,2.969022276,2.971768236,2.970624086,2.965589826,2.971310576,2.968106956,2.971081746,2.966276316
SPI0_CLK_VOL_6.5mA Sink,-0.2,0.5,V,0.135555163,0.132946079,0.13821002,,0.132946079,0.135692483,0.13821002,0.134548148,0.135005882,0.137752286,0.132946079,0.137294552,0.137523419,0.13363268
SPI0_CLK_VOH_6.5mA Source,2.9,3.5,V,3.086132442,3.082722323,3.088672866,,3.088443999,3.088672866,3.086384195,3.084324392,3.088443999,3.085926461,3.082722323,3.085926461,3.085468727,3.085010993
SPI0_SSN_VOL_6.5mA Sink,-0.2,0.5,V,0.133934965,0.131692091,0.136269385,,0.131692091,0.134438467,0.136269385,0.133294144,0.133065279,0.135353926,0.13214982,0.134896197,0.135811655,0.132378685
SPI0_SSN_VOH_6.5mA Source,2.9,3.5,V,3.085603824,3.081896216,3.088762156,,3.088762156,3.088075562,3.084642592,3.084184863,3.088533292,3.086244645,3.081896216,3.085329186,3.084184863,3.084184863
VBG,1.205,1.245,V,1.226405797,1.223597342,1.228637456,,1.224066734,1.223597342,1.227655001,1.225573381,1.225227974,1.227173944,1.226343676,1.228281279,1.228637456,1.22750118
VBG_VR2,-0.9,-0.3,V,-0.618521321,-0.620835728,-0.615781638,,-0.618628489,-0.616972307,-0.615781638,-0.616748896,-0.618104737,-0.61961665,-0.620835728,-0.619352122,-0.620702155,-0.618470484
EDAC_VREF DiffV,2.45,2.55,V,2.494586541,2.484700003,2.499680617,,2.495743288,2.484700003,2.495805277,2.49396196,2.490788952,2.495853305,2.493661293,2.499680617,2.49890354,2.496767175
EDAC_VREF SglV,2.45,2.55,V,2.496789424,2.486894929,2.501884148,,2.497834903,2.486894929,2.497992937,2.496141941,2.492920622,2.498065143,2.495944549,2.501884148,2.501235615,2.498979453
OVT_VREF DiffV,2.45,2.55,V,2.496846556,2.48685621,2.503106768,,2.497298364,2.48685621,2.497418649,2.495545842,2.493433055,2.497484684,2.496362989,2.503106768,2.501945769,2.499013227
OVT_VREF SglV,2.45,2.55,V,2.498180475,2.488203046,2.504468929,,2.498561647,2.488203046,2.498703085,2.496888731,2.494737924,2.4988337,2.497734215,2.504468929,2.503350545,2.500322931
HTRREG_VREF_BUF,2.45,2.55,V,2.500860148,2.490980039,2.506882641,,2.500994842,2.490980039,2.502113666,2.499985784,2.496972366,2.50223163,2.500222943,2.506882641,2.505287085,2.502930485
HTRREG_VREF_NBUF,2.45,2.55,V,2.500960348,2.491080736,2.50697141,,2.501095844,2.491080736,2.502250286,2.500098936,2.497083538,2.502312241,2.500329185,2.50697141,2.5053706,2.503010704
